OrderID,EmployeeID,CustomerName,Region,Category,Sales,Profit,Discount,Date
1001,35,Neha Kapoor,West,Software,4637.96,909.99,0.05,2024-10-10
1002,32,Ananya Gupta,East,Software,2816.7,402.62,0.12,2022-02-15
1003,44,Rahul Sharma,West,Office Supplies,2227.48,205.87,0.16,2021-11-28
1004,36,Neha Kapoor,East,Services,596.44,142.91,0.02,2024-01-14
1005,53,Simran Kaur,South,Software,6636.08,983.23,0.16,2020-07-09
1006,38,Priya Singh,West,Furniture,3408.96,566.95,0.09,2022-12-23
1007,45,Karan Jain,East,Office Supplies,7177.12,747.74,0.05,2020-09-04
1008,93,Priya Singh,East,Electronics,7557.37,1815.1,0.14,2021-01-27
1009,28,Simran Kaur,East,Services,9777.77,1514.84,0.06,2020-07-24
1010,25,Rohit Verma,South,Office Supplies,2204.69,116.47,0.11,2021-07-15
1011,6,Rahul Sharma,East,Furniture,6559.76,1315.62,0.02,2020-01-26
1012,74,Rohit Verma,West,Software,4684.45,406.95,0.01,2024-10-30
1013,62,Ananya Gupta,North,Software,5171.59,855.4,0.14,2020-11-06
1014,20,Neha Kapoor,East,Electronics,9942.22,732.65,0.15,2023-05-26
1015,77,Neha Kapoor,South,Services,4113.59,953.12,0.06,2023-04-20
1016,55,Rohit Verma,North,Services,9621.03,672.0,0.15,2023-07-05
1017,28,Rohit Verma,North,Furniture,2778.72,445.7,0.03,2022-04-16
1018,58,Neha Kapoor,West,Office Supplies,810.08,87.18,0.06,2024-10-26
1019,59,Ananya Gupta,South,Office Supplies,7984.37,1397.36,0.13,2021-02-09
1020,55,Ananya Gupta,South,Furniture,9129.91,1965.91,0.01,2020-12-05
1021,40,Neha Kapoor,East,Software,1681.36,315.65,0.14,2021-07-11
1022,65,Amit Bansal,West,Software,1264.2,73.29,0.09,2021-10-22
1023,78,Rohit Verma,North,Electronics,2674.78,494.46,0.17,2023-04-17
1024,3,Rohit Verma,North,Furniture,4969.76,896.06,0.18,2021-01-06
1025,75,Karan Jain,West,Electronics,4965.1,653.75,0.06,2020-08-02
1026,21,Sneha Patel,West,Software,3238.07,774.02,0.16,2023-01-31
1027,5,Simran Kaur,North,Office Supplies,2897.79,212.07,0.15,2024-11-06
1028,66,Rahul Sharma,West,Software,1014.94,155.98,0.12,2022-10-17
1029,81,Simran Kaur,North,Furniture,3037.03,231.43,0.06,2024-12-08
1030,90,Simran Kaur,North,Electronics,9744.89,1673.92,0.05,2020-11-20
1031,40,Amit Bansal,North,Services,4375.91,415.45,0.17,2020-08-20
1032,60,Ananya Gupta,South,Software,9360.2,1014.39,0.14,2022-04-30
1033,62,Simran Kaur,South,Software,5737.02,726.98,0.18,2022-11-06
1034,96,Arjun Mehta,North,Office Supplies,7840.41,1731.81,0.07,2024-06-01
1035,65,Rohit Verma,North,Office Supplies,7397.48,1608.92,0.12,2023-09-13
1036,63,Arjun Mehta,West,Services,5101.24,594.23,0.15,2022-02-11
1037,59,Sneha Patel,South,Furniture,5932.08,573.71,0.16,2020-03-30
1038,41,Simran Kaur,West,Software,9889.93,2061.84,0.13,2020-11-07
1039,64,Rahul Sharma,South,Services,9670.86,1125.68,0.02,2024-09-26
1040,57,Ananya Gupta,West,Electronics,7363.22,971.91,0.13,2020-11-12
1041,10,Simran Kaur,East,Office Supplies,6420.96,831.49,0.02,2021-11-03
1042,87,Amit Bansal,West,Office Supplies,6454.59,1468.34,0.1,2023-01-13
1043,5,Neha Kapoor,North,Furniture,6496.03,1521.28,0.2,2024-03-09
1044,12,Karan Jain,North,Electronics,4714.95,890.18,0.18,2020-04-04
1045,42,Rahul Sharma,East,Office Supplies,4060.99,321.28,0.11,2023-03-05
1046,88,Arjun Mehta,South,Furniture,1250.2,280.25,0.12,2021-05-08
1047,64,Neha Kapoor,South,Furniture,4880.92,491.97,0.05,2020-01-20
1048,60,Rohit Verma,South,Electronics,4696.43,559.41,0.12,2023-08-01
1049,55,Rohit Verma,West,Office Supplies,2392.56,303.71,0.1,2021-04-30
1050,49,Neha Kapoor,East,Services,3310.79,628.57,0.0,2024-08-26
1051,85,Karan Jain,East,Electronics,5876.33,1099.81,0.15,2020-04-10
1052,78,Simran Kaur,East,Furniture,6267.12,754.96,0.13,2023-06-25
1053,33,Arjun Mehta,North,Electronics,3434.86,474.58,0.12,2024-02-08
1054,17,Ananya Gupta,East,Office Supplies,7601.07,647.06,0.03,2023-01-09
1055,47,Amit Bansal,East,Furniture,2941.22,632.18,0.1,2024-07-09
1056,38,Sneha Patel,North,Software,9647.49,753.96,0.19,2024-10-27
1057,87,Karan Jain,East,Electronics,8011.48,422.88,0.11,2022-07-20
1058,48,Rohit Verma,West,Office Supplies,1529.29,147.98,0.01,2024-12-15
1059,72,Sneha Patel,South,Electronics,6536.34,933.74,0.14,2023-08-22
1060,53,Ananya Gupta,South,Electronics,9489.48,1052.13,0.1,2020-07-18
1061,31,Amit Bansal,South,Software,4809.62,885.44,0.15,2023-01-11
1062,54,Neha Kapoor,South,Software,6721.76,1456.86,0.12,2021-07-26
1063,5,Sneha Patel,South,Software,4724.61,459.34,0.07,2023-11-05
1064,48,Amit Bansal,East,Electronics,4282.33,376.68,0.02,2024-10-02
1065,59,Ananya Gupta,South,Services,9725.39,584.65,0.07,2020-09-14
1066,73,Priya Singh,North,Services,2468.0,229.99,0.17,2021-11-03
1067,100,Arjun Mehta,North,Office Supplies,8654.86,683.19,0.03,2021-05-28
1068,23,Ananya Gupta,North,Furniture,641.17,133.36,0.05,2021-10-25
1069,3,Arjun Mehta,East,Electronics,1704.21,228.69,0.02,2020-05-10
1070,61,Simran Kaur,East,Services,6139.83,862.04,0.04,2023-06-13
1071,6,Amit Bansal,East,Software,6611.74,371.78,0.2,2024-10-01
1072,52,Karan Jain,North,Software,7267.81,1008.14,0.18,2021-10-21
1073,78,Arjun Mehta,North,Furniture,3112.65,549.74,0.11,2021-10-27
1074,49,Neha Kapoor,East,Software,5302.74,721.38,0.16,2020-08-22
1075,84,Amit Bansal,South,Software,4789.77,458.37,0.07,2022-07-17
1076,52,Karan Jain,North,Office Supplies,4554.26,833.53,0.07,2020-11-08
1077,88,Simran Kaur,North,Electronics,8401.83,576.75,0.02,2024-02-22
1078,48,Arjun Mehta,North,Services,9587.93,1556.47,0.13,2022-04-21
1079,46,Karan Jain,North,Office Supplies,6203.9,746.51,0.12,2021-03-11
1080,20,Simran Kaur,South,Electronics,3826.08,616.97,0.02,2021-07-24
1081,74,Priya Singh,West,Services,9758.19,2085.18,0.12,2023-08-09
1082,72,Rahul Sharma,East,Electronics,2213.95,421.85,0.06,2021-11-26
1083,45,Rahul Sharma,South,Furniture,5880.05,765.33,0.03,2023-07-20
1084,4,Ananya Gupta,South,Software,4488.41,530.44,0.07,2024-01-17
1085,42,Neha Kapoor,North,Electronics,1978.01,397.36,0.01,2020-06-16
1086,35,Simran Kaur,West,Software,6267.22,832.52,0.04,2022-11-15
1087,15,Sneha Patel,West,Electronics,3190.84,592.53,0.1,2023-09-28
1088,40,Rahul Sharma,South,Software,9852.23,600.56,0.04,2021-03-08
1089,99,Arjun Mehta,East,Office Supplies,3617.16,186.45,0.15,2020-12-25
1090,17,Karan Jain,South,Services,5807.87,1066.38,0.07,2022-03-24
1091,95,Rahul Sharma,West,Electronics,4867.67,319.19,0.06,2022-05-29
1092,74,Karan Jain,West,Office Supplies,1594.15,86.36,0.06,2024-06-29
